date,time,latitude,longitude,magnitude,remarks,epicenter
2023-10-03,04:27,29.41,81.26,4.3,"SC/NEMRC, DMG",bajhang
2023-10-03,00:50,29.65,81.19,4.3,"SC/NEMRC, DMG",bajhang
2023-10-03,00:16,29.62,81.27,4.1,"SC/NEMRC, DMG",bajhang
2023-10-03,17:38,29.65,81.27,5.0,"SC/NEMRC, DMG",bajhang
2023-10-03,17:19,29.56,81.16,5.0,"SC/NEMRC, DMG",bajhang
2023-10-03,16:31,29.53,81.14,4.3,"NEMRC/SC, DMG",bajhang
2023-10-03,16:28,29.59,81.28,4.1,"NEMRC/SC, DMG",bajhang
2023-10-03,15:45,29.58,81.1,4.1,"NEMRC/SC, DMG",bajhang
2023-10-03,15:13,29.55,81.18,5.1,"SC/NEMRC, DMG",bajhang
2023-10-03,15:06,29.59,81.19,6.3,"NEMRC/SC, DMG",bajhang
2023-10-03,14:40,29.64,81.29,5.3,NEMRC/SC/DMG,bajhang
2023-09-17,00:48,26.97,87.54,4.1,NEMRC/DMG,panchthar
2023-08-31,01:11,27.37,87.06,4.0,NEMRC/DMG,bhojpur
2023-07-19,09:53,28.43,83.99,4.0,NEMRC/DMG,kaski
2023-07-13,11:17,29.75,81.78,4.6,NEMRC/SC/DMG,humla
2023-06-23,05:55,28.15,84.54,4.0,NEMRC/DMG,lamjung
2023-06-19,04:55,29.78,80.92,4.0,NEMRC/SC/DMG,darchula
2023-06-12,07:38,29.72,81.61,4.4,NEMRC/SC/DMG,bajura
2023-05-23,04:06,29.66,81.61,4.5,NEMRC/SC/DMG,bajhang
2023-05-22,18:54,29.68,81.61,4.1,NEMRC/SC/DMG,bajura
2023-05-20,02:59,28.62,82.84,4.1,NEMRC/SC/DMG,rukum east
2023-05-10,05:15,29.73,81.62,4.3,NEMRC/SC/DMG,bajura
2023-05-04,13:17,29.78,81.58,4.1,NEMRC/SC/DMG,bajura
2023-05-01,14:35,29.89,81.93,4.0,NEMRC/SC/DMG,humla
2023-04-28,09:25,29.74,81.63,4.1,NEMRC/SC/DMG,bajura
2023-04-27,01:30,29.78,81.61,5.9,NEMRC/SC/DMG,bajura
2023-04-27,23:58,29.75,81.56,4.9,NEMRC/SC/DMG,bajura
2023-04-23,13:12,29.38,81.34,4.1,NEMRC/SC/DMG,bajura
2023-04-11,18:50,28.17,84.74,4.1,NEMRC/DMG,gorkha
2023-04-01,11:27,27.76,86.19,5.2,NEMRC/DMG,dolakha
2023-03-31,03:19,28.12,84.9,4.1,NEMRC/DMG,gorkha
2023-03-28,23:41,27.86,87.89,4.6,NEMRC/DMG,taplejung
2023-03-26,22:27,29.42,81.66,4.3,NEMRC/SC/DMG,bajura
2023-03-24,09:51,29.64,81.89,4.5,NEMRC/SC/DMG,mugu
2023-03-13,18:56,28.95,81.68,4.1,NEMRC/SC/DMG,dailekh
2023-03-05,08:35,29.29,81.4,4.4,NEMRC/SC/DMG,achham
2023-03-05,08:03,27.57,85.59,4.3,NEMRC/DMG,kavrepalanchok
2023-03-01,17:42,27.82,88.02,4.0,NEMRC/DMG,taplejung
2023-02-28,10:03,27.08,87.96,4.3,NEMRC/DMG,illam
2023-02-22,13:45,29.68,81.67,5.2,NEMRC/SC,bajura
2023-02-12,04:30,27.83,87.95,4.8,NEMRC/DMG,taplejung
2023-02-10,08:52,28.8,82.53,4.2,NEMRC/SC/DMG,rukum
2023-02-01,11:44,29.71,81.62,4.0,SC/NEMRC,bajura
2023-01-31,00:24,27.42,87.47,4.0,NEMRC/DMG,taplejung
2023-01-25,01:07,29.64,81.68,4.1,NEMRC/SC,bajura
2023-01-24,14:43,29.75,81.7,5.9,NEMRC/SC/DMG,bajura
2023-01-21,04:38,27.8,85.81,4.2,NEMRC/DMG,sindhupalchok
2022-12-27,03:28,28.45,83.09,4.0,NEMRC/DMG,baglung
2022-12-27,02:07,28.36,83.19,5.3,NEMRC/DMG,baglung
2022-12-27,01:23,28.45,83.14,4.7,NEMRC/DMG,baglung
2022-12-23,07:15,29.1,83.3,4.6,NEMRC/SC/DMG,dolpa
2022-12-21,01:00,30.0,80.74,4.1,NEMRC/SC/DMG,darchula
2022-12-18,22:53,28.26,85.06,4.5,NEMRC/DMG,dhading
2022-11-28,10:45,26.93,87.26,4.0,NEMRC/DMG,dhankuta
2022-11-15,18:08,29.35,81.21,4.2,SC/NEMRC/DMG,achham
2022-11-12,20:12,29.45,81.19,5.4,NEMRC/SC,bajhang
2022-11-09,05:13,29.35,81.29,4.1,NEMRC/SC/DMG,bajura
