B.S:2078-7-1A.D:2021-10-18,Local:15:20 UTC:09:35,27.85,85.81,4.1,NEMRC, Sindhupalchowk
B.S:2078-7-1A.D:2021-10-18,Local:13:56 UTC:08:11,27.92,85.81,4.7,NEMRC, Sindhupalchowk
B.S:2079-11-21A.D:2023-03-05,Local:08:35 UTC:02:50,29.29,81.4,4.4,NEMRC/SC/DMG,Achham
B.S:2079-7-29A.D:2022-11-15,Local:18:08 UTC:12:23,29.35,81.21,4.2,SC/NEMRC/DMG,Achham
B.S:2074-7-9A.D:2017-10-26,Local:18:36 UTC:12:51,29.08,81.45,4,NSC/RSC,Achham
B.S:2079-9-13A.D:2022-12-27,Local:03:28 UTC:21:43,28.45,83.09,4,NEMRC/DMG,Baglung
B.S:2079-9-13A.D:2022-12-27,Local:02:07 UTC:20:22,28.36,83.19,5.3,NEMRC/DMG,Baglung
B.S:2079-9-13A.D:2022-12-27,Local:01:23 UTC:19:38,28.45,83.14,4.7,NEMRC/DMG,Baglung
B.S:2076-7-15A.D:2019-10-31,Local:03:51 UTC:22:06,28.45,83.23,4.5,NSC,Baglung
B.S:2072-8-4A.D:2015-11-20,Local:13:45 UTC:08:00,28.35,83.36,4,NSC/RSC,Baglung
B.S:2072-3-22A.D:2015-07-07,Local:09:06 UTC:03:21,28.48,83.13,4.2,NSC/RSC,Baglung
B.S:2079-2-24A.D:2022-06-07,Local:12:50 UTC:07:05,29.61,80.51,4,NEMRC/SC,Baitadi
B.S:2078-11-10A.D:2022-02-22,Local:15:52 UTC:10:07,29.7,80.71,4.1,NEMRC,Baitadi
B.S:2080-2-10A.D:2023-05-23,Local:04:06 UTC:22:21,29.66,81.61,4.5,NEMRC/SC/DMG,Bajhang
B.S:2079-7-26A.D:2022-11-12,Local:20:12 UTC:14:27,29.45,81.19,5.4,NEMRC/SC,Bajhang
B.S:2079-7-13A.D:2022-10-30,Local:09:26 UTC:03:41,29.6,81.04,4.6,NEMRC/SC,Bajhang
B.S:2079-1-6A.D:2022-04-19,Local:06:03 UTC:00:18,29.58,81,4.1,NEMRC/SC,Bajhang
B.S:2078-5-8A.D:2021-08-23,Local:02:23 UTC:20:38,29.61,81.01,4,NEMRC/SC,Bajhang
B.S:2077-7-13A.D:2020-10-28,Local:00:19 UTC:18:34,29.58,80.81,4.2,NEMRC/SC,Bajhang
B.S:2077-5-9A.D:2020-08-25,Local:21:09 UTC:15:24,29.59,80.89,4.7,NSC/RSC,Bajhang
B.S:2076-12-20A.D:2020-04-02,Local:20:55 UTC:15:10,29.58,80.96,4,NSC/RSC,Bajhang
B.S:2076-8-3A.D:2019-11-19,Local:19:15 UTC:13:30,29.42,81.1,5.7,NSC/RSC,Bajhang
B.S:2076-2-31A.D:2019-06-14,Local:12:22 UTC:06:37,29.52,81.05,4,RSC/NSC,Bajhang
B.S:2076-2-11A.D:2019-05-25,Local:21:08 UTC:15:23,29.5,81.28,4.3,RSC/NSC,Bajhang
B.S:2076-1-2A.D:2019-04-14,Local:04:27 UTC:22:42,29.49,81.24,4.8,RSC/NSC,Bajhang
B.S:2074-7-20A.D:2017-11-06,Local:08:54 UTC:03:09,29.78,81.28,4.5,RSC/NSC,Bajhang
B.S:2074-5-6A.D:2017-08-22,Local:18:35 UTC:12:50,29.41,81.1,4.9,RSC/NSC,Bajhang
